"pNo","condition","congruency","wordShown","correctResp","trialnum","resp","acc","rt","include","mentaldemand","effort","frustration","bored","fatigue","acs","implicitWillpower","bigFiveCon","bsc","srsq"
14,"control","congruent","yellow","yellow",96,"yellow",1,591,1,1,1,1,3.9,1,0.333333333333333,1.66666666666667,4.22222222222222,4.46153846153846,3.4
14,"control","congruent","yellow","yellow",97,"yellow",1,707,1,1,1,1,3.9,1,0.333333333333333,1.66666666666667,4.22222222222222,4.46153846153846,3.4
14,"control","incongruent","yellow","blue",98,"red",0,886,1,1,1,1,3.9,1,0.333333333333333,1.66666666666667,4.22222222222222,4.46153846153846,3.4
14,"control","congruent","red","red",99,"red",1,695,1,1,1,1,3.9,1,0.333333333333333,1.66666666666667,4.22222222222222,4.46153846153846,3.4
14,"control","congruent","blue","blue",100,"blue",1,1598,1,1,1,1,3.9,1,0.333333333333333,1.66666666666667,4.22222222222222,4.46153846153846,3.4
14,"control","congruent","yellow","yellow",101,"yellow",1,617,1,1,1,1,3.9,1,0.333333333333333,1.66666666666667,4.22222222222222,4.46153846153846,3.4
14,"control","congruent","yellow","yellow",102,"yellow",1,456,1,1,1,1,3.9,1,0.333333333333333,1.66666666666667,4.22222222222222,4.46153846153846,3.4
14,"control","incongruent","yellow","red",103,"red",1,1237,1,1,1,1,3.9,1,0.333333333333333,1.66666666666667,4.22222222222222,4.46153846153846,3.4
14,"control","congruent","red","red",104,"red",1,710,1,1,1,1,3.9,1,0.333333333333333,1.66666666666667,4.22222222222222,4.46153846153846,3.4
14,"control","incongruent","red","yellow",105,"blue",0,954,1,1,1,1,3.9,1,0.333333333333333,1.66666666666667,4.22222222222222,4.46153846153846,3.4
14,"control","incongruent","red","blue",106,"blue",1,400,1,1,1,1,3.9,1,0.333333333333333,1.66666666666667,4.22222222222222,4.46153846153846,3.4
14,"control","congruent","red","red",107,"red",1,735,1,1,1,1,3.9,1,0.333333333333333,1.66666666666667,4.22222222222222,4.46153846153846,3.4
14,"control","congruent","blue","blue",108,"blue",1,681,1,1,1,1,3.9,1,0.333333333333333,1.66666666666667,4.22222222222222,4.46153846153846,3.4
14,"control","congruent","blue","blue",109,"blue",1,499,1,1,1,1,3.9,1,0.333333333333333,1.66666666666667,4.22222222222222,4.46153846153846,3.4
14,"control","congruent","red","red",110,"red",1,569,1,1,1,1,3.9,1,0.333333333333333,1.66666666666667,4.22222222222222,4.46153846153846,3.4
