"pNo","condition","congruency","wordShown","correctResp","trialnum","resp","acc","rt","include","mentaldemand","effort","frustration","bored","fatigue","acs","implicitWillpower","bigFiveCon","bsc","srsq"
5,"control","congruent","blue","blue",86,"blue",1,955,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","congruent","yellow","yellow",87,"yellow",1,576,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","incongruent","red","yellow",88,"red",0,1516,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","incongruent","red","blue",89,"blue",1,5752,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","congruent","red","red",90,"red",1,1398,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","congruent","yellow","yellow",91,"yellow",1,946,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","incongruent","yellow","blue",92,"blue",1,1108,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","congruent","red","red",93,"red",1,1549,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","incongruent","blue","yellow",94,"yellow",1,795,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","congruent","red","red",95,"red",1,1089,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","congruent","blue","blue",96,"blue",1,797,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","incongruent","blue","red",97,"red",1,825,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","congruent","blue","blue",98,"blue",1,1631,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","congruent","yellow","yellow",99,"yellow",1,943,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","incongruent","red","blue",100,"red",0,1042,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","congruent","blue","blue",101,"blue",1,2157,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","incongruent","yellow","red",102,"red",1,1328,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","congruent","blue","blue",103,"blue",1,1079,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","congruent","yellow","yellow",104,"yellow",1,744,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","congruent","red","red",105,"red",1,749,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","incongruent","red","yellow",106,"yellow",1,900,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","congruent","yellow","yellow",107,"yellow",1,781,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","congruent","red","red",108,"red",1,706,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","congruent","blue","blue",109,"blue",1,805,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","congruent","red","red",110,"red",1,712,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","congruent","red","red",111,"red",1,603,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","congruent","blue","blue",112,"blue",1,919,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","incongruent","red","yellow",113,"yellow",1,994,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","congruent","yellow","yellow",114,"yellow",1,831,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","incongruent","red","blue",115,"blue",1,1005,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","incongruent","yellow","red",116,"red",1,1245,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
